NAME,male_popE,female_popE,poverty_100E,poverty_149E,poverty_150E,pub_assistE,cash_assistE,no_assistE,majority_hs_grads,region,county
"Census Tract 1, Modoc County, California",1856,1651,783,398,2228,1528,251,1511,TRUE,Jefferson,Modoc
"Census Tract 2, Modoc County, California",775,745,171,263,1077,627,55,623,TRUE,Jefferson,Modoc
"Census Tract 4, Modoc County, California",528,553,133,183,750,480,16,476,TRUE,Jefferson,Modoc
"Census Tract 3, Modoc County, California",1454,1376,348,458,1864,1025,49,1003,TRUE,Jefferson,Modoc
"Census Tract 405, Lassen County, California",1661,1622,240,265,2774,1363,125,1289,TRUE,Jefferson,Lassen
"Census Tract 406, Lassen County, California",2238,909,330,191,1399,957,135,902,TRUE,Jefferson,Lassen
"Census Tract 403.02, Lassen County, California",2274,1839,220,455,3398,1691,103,1660,TRUE,Jefferson,Lassen
"Census Tract 404, Lassen County, California",8829,524,235,44,804,463,46,433,TRUE,Jefferson,Lassen
"Census Tract 402, Lassen County, California",1307,1369,280,161,2212,1242,111,1216,TRUE,Jefferson,Lassen
"Census Tract 401, Lassen County, California",818,684,175,172,1063,697,56,693,TRUE,Jefferson,Lassen
"Census Tract 403.03, Lassen County, California",1422,1115,538,293,1499,1125,137,1084,TRUE,Jefferson,Lassen
"Census Tract 403.04, Lassen County, California",732,766,475,114,820,663,96,591,TRUE,Jefferson,Lassen
"Census Tract 403.05, Lassen County, California",1390,1686,440,229,2404,1292,91,1253,TRUE,Jefferson,Lassen
"Census Tract 1, Plumas County, California",3004,2799,744,336,4503,2186,302,2113,TRUE,Jefferson,Plumas
"Census Tract 4, Plumas County, California",1448,1334,390,183,2209,1166,109,1122,TRUE,Jefferson,Plumas
"Census Tract 2.01, Plumas County, California",671,670,40,121,1180,671,38,665,TRUE,Jefferson,Plumas
"Census Tract 2.02, Plumas County, California",453,541,30,75,858,495,27,488,TRUE,Jefferson,Plumas
"Census Tract 3, Plumas County, California",1896,2048,551,307,3055,1753,147,1735,TRUE,Jefferson,Plumas
"Census Tract 5.01, Plumas County, California",1107,1009,189,300,1595,955,64,932,TRUE,Jefferson,Plumas
"Census Tract 5.02, Plumas County, California",844,875,202,177,1340,821,39,821,TRUE,Jefferson,Plumas
"Census Tract 104, Shasta County, California",2071,2134,748,730,2698,1610,144,1592,TRUE,Jefferson,Shasta
"Census Tract 111, Shasta County, California",1523,1603,252,237,2610,1210,84,1165,TRUE,Jefferson,Shasta
"Census Tract 122, Shasta County, California",2838,3099,1901,523,3508,2156,280,2032,TRUE,Jefferson,Shasta
"Census Tract 126.01, Shasta County, California",2476,2494,799,532,3481,1990,172,1934,TRUE,Jefferson,Shasta
"Census Tract 127.02, Shasta County, California",1354,1377,413,173,2104,1107,143,1107,TRUE,Jefferson,Shasta
"Census Tract 105, Shasta County, California",2703,2904,1190,816,3366,2145,146,2105,TRUE,Jefferson,Shasta
"Census Tract 116, Shasta County, California",2208,1625,673,570,2583,1455,174,1394,TRUE,Jefferson,Shasta
"Census Tract 119, Shasta County, California",2209,2172,353,417,3586,1683,61,1670,TRUE,Jefferson,Shasta
"Census Tract 123.01, Shasta County, California",1392,1257,639,389,1621,1122,195,1052,TRUE,Jefferson,Shasta
"Census Tract 123.02, Shasta County, California",2842,2519,468,347,4546,2063,165,2022,TRUE,Jefferson,Shasta
"Census Tract 109, Shasta County, California",1894,2342,1202,549,2328,1706,217,1666,TRUE,Jefferson,Shasta
"Census Tract 123.03, Shasta County, California",1892,2023,413,187,3287,1513,134,1505,TRUE,Jefferson,Shasta
"Census Tract 124, Shasta County, California",2048,1762,529,332,2939,1545,115,1524,TRUE,Jefferson,Shasta
"Census Tract 113, Shasta County, California",2130,2743,875,768,3197,1863,241,1772,TRUE,Jefferson,Shasta
"Census Tract 125, Shasta County, California",818,805,397,150,1031,717,78,702,TRUE,Jefferson,Shasta
"Census Tract 120, Shasta County, California",2347,2324,961,932,2772,1776,451,1681,TRUE,Jefferson,Shasta
"Census Tract 127.01, Shasta County, California",2386,2543,1212,450,3196,1809,306,1664,TRUE,Jefferson,Shasta
"Census Tract 107.02, Shasta County, California",1744,1874,624,273,2683,1573,226,1517,TRUE,Jefferson,Shasta
"Census Tract 102, Shasta County, California",1167,1297,786,190,1482,1125,177,1093,TRUE,Jefferson,Shasta
"Census Tract 115, Shasta County, California",2349,3260,698,381,4513,2176,329,2100,TRUE,Jefferson,Shasta
"Census Tract 101, Shasta County, California",901,593,350,223,556,733,133,727,TRUE,Jefferson,Shasta
"Census Tract 103, Shasta County, California",2043,2143,803,444,2912,1532,201,1471,TRUE,Jefferson,Shasta
"Census Tract 106.01, Shasta County, California",1285,1169,107,43,2304,948,54,937,FALSE,Jefferson,Shasta
"Census Tract 106.02, Shasta County, California",2568,3011,642,421,4495,2423,143,2347,TRUE,Jefferson,Shasta
"Census Tract 106.03, Shasta County, California",827,789,201,58,1357,566,59,553,TRUE,Jefferson,Shasta
"Census Tract 107.03, Shasta County, California",1422,1861,606,423,2247,1671,169,1634,TRUE,Jefferson,Shasta
"Census Tract 107.04, Shasta County, California",1701,2203,1242,440,2222,1839,342,1734,TRUE,Jefferson,Shasta
"Census Tract 108.03, Shasta County, California",2895,3037,1278,785,3838,2315,386,2264,TRUE,Jefferson,Shasta
"Census Tract 108.04, Shasta County, California",1361,1299,305,174,1638,876,38,853,FALSE,Jefferson,Shasta
"Census Tract 108.05, Shasta County, California",2255,2618,720,261,3872,1883,105,1841,TRUE,Jefferson,Shasta
"Census Tract 108.06, Shasta County, California",1457,1449,473,324,2109,1401,194,1336,TRUE,Jefferson,Shasta
"Census Tract 108.07, Shasta County, California",2174,2421,406,310,3717,1703,89,1691,TRUE,Jefferson,Shasta
"Census Tract 110.01, Shasta County, California",819,890,192,61,1449,631,42,616,FALSE,Jefferson,Shasta
"Census Tract 110.02, Shasta County, California",2524,2570,630,458,3974,2060,313,1897,TRUE,Jefferson,Shasta
